match,week,team,opponent,Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
MKE @ NY,Week 2,NY,MKE,2024-04-15 19:57:34,22,31 Eli Presberg,1,0,0,0,0.5388349,0.89928055
MKE @ NY,Week 2,NY,MKE,2024-04-15 20:00:06,23,33 Valeria Cardenas,0,0,0,0,0.4223301,0.30431655
MKE @ NY,Week 2,NY,MKE,2024-04-15 20:17:54,31,18 Kylie Sterling,0,0,0,0,0.9142395,0.78129494
MKE @ NY,Week 2,NY,MKE,2024-04-15 20:27:04,34,20 Yina Cartagena,0,0,0,0,0.32362455,0.4410072
MKE @ NY,Week 2,NY,MKE,2024-04-15 20:30:03,34,24 Jolie Krebs,0,0,0,0,0.069579266,0.38848922
MKE @ NY,Week 2,NY,MKE,2024-04-15 20:31:38,35,24 Jolie Krebs,1,0,0,0,0.2669903,0.90863305
MKE @ NY,Week 2,NY,MKE,2024-04-15 20:41:16,39,96 Nina Finley,0,1,0,0,0.5469256,0.08633093
MKE @ PHL,Week 2,MKE,PHL,2024-04-16 21:03:37,1,52 Erynn Schroeder,1,0,0,0,0.1222222,0.8919753
MKE @ PHL,Week 2,MKE,PHL,2024-04-16 21:04:20,1,17 Caitlin Duffner,0,0,0,0,0.48333332,0.7845679
MKE @ PHL,Week 2,MKE,PHL,2024-04-16 21:07:29,2,27 Stef Bugasch,0,0,0,0,0.2930556,0.40370372
MKE @ PHL,Week 2,MKE,PHL,2024-04-16 21:10:44,2,52 Erynn Schroeder,0,0,0,0,0.53472227,0.24197531
MKE @ PHL,Week 2,MKE,PHL,2024-04-16 21:29:43,5,21 Annie Shriver,0,0,0,0,0.25972226,0.63024694
MKE @ PHL,Week 2,MKE,PHL,2024-04-16 22:04:38,11,72 Jacqueline Jarik,0,0,0,0,0.71666664,0.22592591
MKE @ PHL,Week 2,MKE,PHL,2024-04-16 22:17:56,15,22 Alex Ballinger,0,0,0,0,0.41527775,0.7067901
MKE @ PHL,Week 2,MKE,PHL,2024-04-16 22:22:20,16,21 Annie Shriver,0,0,0,0,0.6652778,0.4555556
MKE @ PHL,Week 2,MKE,PHL,2024-04-16 22:27:48,16,22 Alex Ballinger,0,0,0,0,0.26111114,0.7728395
MKE @ PHL,Week 2,MKE,PHL,2024-04-16 22:38:42,20,22 Alex Ballinger,0,0,0,0,0.3402778,0.50555557
MKE @ PHL,Week 2,MKE,PHL,2024-04-16 22:40:32,20,97 Eileen Bequette,0,0,0,0,0.31388894,0.27901235
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 08:35:18,1,11 Sara Liang,0,0,0,0,0.9839255,0.19543464
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 08:37:45,1,05 Lindsay McKenna,0,0,0,0,0.74873096,0.25484678
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 08:45:19,2,08 Emma Soiles,1,0,0,0,0.67089677,0.88899314
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 09:01:40,3,13 Kat Harper,0,0,0,0,0.8536379,0.4043152
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 09:10:47,5,01 Emily Shields,0,0,0,0,0.30033842,0.32363978
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 09:14:09,6,00 Emilie Mohler,0,0,0,0,0.3037225,0.5562852
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 09:14:45,6,11 Sara Liang,0,0,0,0,0.4424704,0.29612258
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 09:19:18,7,24 Casey Gorman,0,0,0,0,0.61167514,0.3492808
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 09:20:21,7,04 Raha Mozaffari,0,0,0,0,0.8654822,0.32051283
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 09:22:06,7,04 Raha Mozaffari,0,0,0,0,0.6996616,0.634459
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 09:41:34,11,05 Lindsay McKenna,0,0,0,0,0.70812184,0.5963102
MKE @ PHL,Week 2,PHL,MKE,2024-04-15 09:51:26,13,24 Casey Gorman,0,0,0,0,0.7385787,0.7945591
