match,week,team,opponent,Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 19:41:55,6,1,1,0,0.6673582,0.7329441,26 Amy Broome,18,NA,NA,NA,88 Maddy Easton,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 20:00:43,7,1,0,0,0.40594745,0.5547019,95 Megan Mendieta,6,NA,NA,NA,16 Kinsey Neas,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 20:04:09,7,2,0,0,0.0062240665,0.8380455,05 Dre Esparza,4,NA,NA,NA,NA,19 Vanessa Bacorn,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 20:09:32,8,1,1,0,0.5,0.6665642,07 Shiru Liu,7,NA,NA,NA,07 Shiru Liu,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 20:12:45,8,2,1,0,0.69640386,0.6364474,22 Sydney Loughran,3,NA,NA,NA,07 Shiru Liu,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 20:14:03,8,3,1,1,0.0186722,0.44837123,42 Meg Duffy,12,03 Madi Cannon,26 Amy Broome,31 Nikki Gilbert,NA,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 20:27:43,10,1,1,1,0.49723375,0.66472036,02 Elise Bjork,25,42 Meg Duffy,73 Clara Stewart,22 Sydney Loughran,NA,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 20:47:17,11,1,0,1,0.48063624,0.8325138,73 Clara Stewart,14,73 Clara Stewart,88 Maddy Easton,03 Madi Cannon,NA,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 20:57:02,12,1,0,0,0.48755187,0.8349723,95 Megan Mendieta,9,NA,NA,NA,16 Kinsey Neas,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 21:09:47,13,1,1,0,0.86237895,0.68869084,07 Shiru Liu,4,NA,NA,NA,42 Meg Duffy,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 21:12:11,13,2,1,0,0.30774552,0.42194223,69 Jaime Estes,2,NA,NA,NA,00 Maggie Rowell,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 21:14:52,13,3,1,0,0.5857538,0.64874,02 Elise Bjork,5,NA,NA,NA,42 Meg Duffy,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 21:40:28,14,1,1,1,0.77524203,0.7378611,26 Amy Broome,11,73 Clara Stewart,88 Maddy Easton,03 Madi Cannon,NA,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 21:46:01,15,1,0,0,0.8167358,0.6929932,95 Megan Mendieta,18,NA,NA,NA,05 Dre Esparza,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 21:52:42,15,2,0,1,0.4515906,0.76060236,31 Nikki Gilbert,6,88 Maddy Easton,31 Nikki Gilbert,88 Maddy Easton,NA,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 21:56:00,16,1,0,1,0.5207469,0.47295636,42 Meg Duffy,8,02 Elise Bjork,42 Meg Duffy,22 Sydney Loughran,NA,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 21:59:19,17,1,0,1,0.49031812,0.79748005,05 Dre Esparza,39,31 Nikki Gilbert,03 Madi Cannon,31 Nikki Gilbert,NA,NA,NA
