week,match,team,Player,Touches,Throws,Catches,Defensive blocks,Goals,Turnovers,Total completed throw gain (yd),Average completed throw gain (yd),Total caught pass gain (yd),Average caught pass gain (yd),Offense points played,Defense points played,Possessions initiated,Thrower errors,Receiver errors,Assists,Secondary assists
Week 2,LA @ NASH,LA,23 Frances Lebar,6,4,6,0,2,1,17.186740000000004,5.73256,123.44696000000002,20.57814,0,5,0,1,0,1,0
Week 2,LA @ NASH,LA,02 Iman Haq,8,7,8,0,1,1,32.677780000000006,4.67138,38.38846000000001,4.80266,0,5,0,0,1,0,0
Week 2,LA @ NASH,LA,50 Lilet Brooks,2,2,2,1,0,0,9.266180000000002,4.627620000000001,28.826900000000006,14.40798,2,0,0,0,0,0,1
Week 2,LA @ NASH,NASH,03 Sara Mog,37,37,27,2,0,3,197.58734000000004,5.80914,25.35892,0.94084,10,1,10,3,0,0,0
Week 2,LA @ NASH,NASH,16 Emily Branson,38,38,27,0,0,6,153.69606000000002,4.955820000000001,113.43686000000001,4.20096,9,1,11,6,0,1,0
Week 2,LA @ NASH,NASH,61 Madison Oakman,10,9,7,0,1,3,19.166880000000003,2.7350000000000003,-18.35732,-2.6256,5,5,3,2,1,0,0
Week 2,LA @ NASH,NASH,22 Becca Henley,13,11,13,1,2,0,-0.9627200000000001,-0.08752000000000001,221.40372000000002,17.03358,9,0,0,0,0,0,0
Week 2,LA @ NASH,NASH,01 Tori Radcliffe,18,18,18,0,0,6,41.70328,3.2054200000000006,74.79678000000001,4.1572000000000005,8,0,0,5,1,1,0
Week 2,LA @ NASH,NASH,06 Rebecca Fagan,9,9,8,1,0,2,38.80418,6.465540000000001,89.68612000000002,11.213500000000002,6,3,1,2,0,1,1
Week 2,LA @ NASH,NASH,15 Sylvia Brown,36,36,32,1,0,4,163.1154,5.09804,107.81370000000001,3.3695200000000005,6,3,4,4,0,2,2
Week 2,LA @ NASH,NASH,96 Natalie Wilson,7,6,6,4,1,0,7.647060000000001,1.2799800000000001,61.83288000000001,10.305480000000001,5,3,1,0,0,0,1
Week 2,LA @ NASH,NASH,91 Savannah Sillivant,11,11,11,1,0,3,66.98562,7.4392000000000005,47.57806000000001,4.321300000000001,7,0,0,2,1,0,0
Week 2,LA @ NASH,NASH,17 Rachel Barr,4,4,4,0,0,0,-7.40638,-1.8488600000000002,17.0664,4.2666,6,0,0,0,0,0,0
Week 2,LA @ NASH,NASH,71 Mattea Swegles,1,1,1,0,0,1,0,0,7.242280000000001,7.242280000000001,4,3,0,1,0,0,0
Week 2,LA @ NASH,NASH,56 Kate Blankenship,5,5,5,0,0,0,1.1268200000000002,0.22974,-14.495500000000002,-2.8991000000000002,2,4,0,0,0,0,0
Week 2,LA @ NASH,NASH,14 Hanna McClain,2,2,2,1,0,0,-10.950940000000001,-5.470000000000001,21.901880000000002,10.950940000000001,4,0,0,0,0,0,0
Week 2,LA @ NASH,NASH,42 Emma Patterson,14,14,7,1,0,3,104.99118,9.53968,-54.83128,-7.8330400000000004,3,2,7,3,0,0,1
Week 2,LA @ NASH,NASH,02 Elizabeth Wu,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Week 2,LA @ NASH,NASH,18 Morgan Butts,2,1,2,0,1,0,0,0,25.687120000000004,12.843560000000002,1,3,0,0,0,0,0
Week 2,LA @ NASH,NASH,21 Elena Rubino,1,1,1,0,0,1,0,0,8.8614,8.8614,0,4,0,1,0,0,0
Week 2,LA @ NASH,NASH,80 Kelsea LeBeau,4,4,3,0,0,1,33.00598,11.005640000000001,2.2536400000000003,0.75486,2,1,1,1,0,0,0
Week 2,LA @ NASH,NASH,26 Leah Shorb,4,4,4,0,0,0,-8.77388,-2.19894,44.525800000000004,11.12598,1,2,0,0,0,0,0
Week 2,LA @ NASH,NASH,19 Claire Williams,1,1,1,0,0,0,11.67298,11.67298,29.62552,29.62552,1,2,0,0,0,0,0
Week 2,LA @ NASH,NASH,13 Sandy Taylor,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Week 2,NY @ PHL,NY,33 Valeria Cárdenas,62,59,50,0,3,6,296.17862,5.48094,236.73066,4.73702,10,8,12,5,1,2,2
Week 2,NY @ PHL,NY,24 Jolie Krebs,32,32,32,0,0,1,210.36526,6.782800000000001,131.48786,4.11344,11,5,0,1,0,3,2
Week 2,NY @ PHL,NY,31 Eli Presberg,35,35,33,0,0,4,194.16312,6.268620000000001,16.0818,0.49230000000000007,8,7,2,4,0,2,0
Week 2,NY @ PHL,NY,20 Yina Cartagena,62,62,47,0,0,3,382.96564,6.607760000000001,34.537580000000005,0.7329800000000001,12,3,15,2,1,6,1
Week 2,NY @ PHL,NY,00 Genny De Jesus,5,4,5,0,1,0,1.52066,0.3829,35.32526,7.067240000000001,10,4,0,0,0,0,1
Week 2,NY @ PHL,NY,03 Liv Player,16,15,12,1,1,2,83.13306,6.3999,94.89356000000001,7.909620000000001,3,9,4,1,1,0,1
Week 2,NY @ PHL,NY,88 Nikki Hair,2,1,2,0,1,0,-8.281580000000002,-8.281580000000002,38.191539999999996,19.0903,2,9,0,0,0,0,0
Week 2,NY @ PHL,NY,07 Abby Hecko,20,19,17,1,1,1,64.19592,3.56644,2.8006400000000005,0.1641,3,8,3,1,0,0,2
Week 2,NY @ PHL,NY,10 Ella Juengst,9,9,9,1,0,2,-8.70824,-1.24716,83.01272,9.22242,3,8,0,2,0,0,1
Week 2,NY @ PHL,NY,66 Janine Hlavaty,11,10,11,2,1,2,-12.854500000000002,-1.6081800000000002,122.41860000000001,11.12598,10,1,0,2,0,0,1
Week 2,NY @ PHL,NY,19 Eastelle Ding,13,10,13,0,3,0,-5.1199200000000005,-0.56888,151.10328,11.61828,9,1,0,0,0,0,0
Week 2,NY @ PHL,NY,04 Marié Weverka,3,3,3,0,0,0,-12.78886,-4.2666,30.456960000000002,10.15232,2,6,0,0,0,0,0
Week 2,NY @ PHL,NY,26 Mari Malin,11,11,11,0,0,0,3.2273000000000005,0.29538000000000003,-5.787260000000001,-0.52512,5,2,0,0,0,0,1
Week 2,NY @ PHL,NY,21 Montana Roberts,5,3,5,1,2,0,-9.6819,-3.2273000000000005,103.48146000000001,20.698480000000004,0,6,0,0,0,0,0
Week 2,NY @ PHL,NY,12 Casey Banta-Ryan,3,3,3,0,0,2,9.441220000000001,4.71514,25.271400000000003,8.4238,2,4,0,1,1,0,0
Week 2,NY @ PHL,NY,09 Cassie Brown,7,7,6,0,0,1,3.7196000000000002,0.62358,53.1137,8.85046,0,6,1,1,0,0,0
Week 2,NY @ PHL,NY,74 Sam Harris,3,3,3,1,0,0,-11.082220000000001,-3.6977200000000003,27.284360000000003,9.091140000000001,1,4,0,0,0,0,1
Week 2,NY @ PHL,PHL,29 Sara Liang,46,45,35,1,1,3,79.36970000000001,1.9363800000000002,90.39722,2.58184,11,6,11,3,0,2,2
Week 2,NY @ PHL,PHL,19 Grace Maroon,19,17,19,0,2,2,-5.9404200000000005,-0.37196000000000007,192.52212,10.13044,10,6,0,1,1,1,0
Week 2,NY @ PHL,PHL,22 Liz Hart,15,13,15,0,2,0,109.62974,9.1349,136.1483,9.080200000000001,9,5,0,0,0,2,1
Week 2,NY @ PHL,PHL,05 Lindsay McKenna,7,5,7,1,2,2,33.15914,8.292520000000001,92.19138000000001,13.17176,5,9,0,1,1,1,1
Week 2,NY @ PHL,PHL,21 Linda Morse,8,7,8,0,1,0,14.856520000000002,2.4724399999999997,66.6246,8.32534,10,5,0,0,0,0,1
Week 2,NY @ PHL,PHL,09 Sarah Hirannet,1,1,1,0,0,1,6.181100000000001,6.181100000000001,2.8881600000000005,2.8881600000000005,3,8,0,0,1,0,1
Week 2,NY @ PHL,PHL,20 Danielle Walsh,38,38,30,1,0,7,204.88432000000003,6.02794,-101.65448,-3.3914000000000004,9,3,8,4,3,1,2
Week 2,NY @ PHL,PHL,27 Kit Asterin,26,24,16,1,2,5,63.495760000000004,3.5226800000000007,36.287980000000005,2.26458,3,8,10,5,0,1,1
Week 2,NY @ PHL,PHL,00 Emilie Mohler,18,18,14,0,0,3,150.68756000000002,10.04292,-36.98814000000001,-2.6365400000000005,4,7,4,2,1,1,0
Week 2,NY @ PHL,PHL,23 Natalie Bova,10,10,10,0,0,1,8.12842,0.90802,29.95372,2.9975600000000004,3,8,0,1,0,1,0
